hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
10 Paper and their articles,import,2016,SAA into force,1.4703415273272722,1.4964009588839262,0.026059431556654022,0.11232719233382114,0.23199575290023217
14 Pearls. precious stones. metals etc,export,2018,Serbia tariff onset (Nov),1.0925636887913017,0.9564625850340136,-0.13610110375728812,0.620325813367794,-0.21940261202155253
03 Edible oils,import,2016,SAA into force,0.9722191647303254,0.9988553475488198,0.026636182818494336,0.12779015895234713,0.20843688619580597
20 Miscellaneous manufactured articles,export,2018,Serbia tariff onset (Nov),2.7377582603634822,3.5708843537414965,0.8331260933780142,4.057579047633024,0.2053259058166755
01 Live animals,import,2018,Serbia tariff onset (Nov),3.986947238250644,3.9448929208777623,-0.04205431737288157,0.23890153581846948,-0.1760320092912117
12 Footwear,import,2018,Serbia tariff onset (Nov),1.1892282881164469,1.1694015944375444,-0.01982669367890244,0.11325629650766765,-0.1750604097985858
21 Works of art,export,2016,SAA into force,0.05287524516283731,0.056196831015483194,0.0033215858526458863,0.019851352297940904,0.16732290086808949
08 Leather and their articles,export,2022,Energy / Ukraine shock,1.0307955121359962,0.9458025189997364,-0.08499299313625974,0.5451819769264504,-0.1558983912407031
21 Works of art,import,2022,Energy / Ukraine shock,0.060266440430903984,0.08199459658445692,0.021728156153552933,0.14375404338558184,0.15114813915371378
01 Live animals,export,2018,Serbia tariff onset (Nov),0.22380360307928363,0.19700680272108845,-0.026796800358195177,0.19491878217086386,-0.13747674831410228
21 Works of art,import,2016,SAA into force,0.11037334885948805,0.0924182279718931,-0.017955120887594947,0.14375404338558184,-0.12490167556146667
16 Machinery. appliances and electric materials,export,2020,Tariff removal Apr + COVID shock,4.401472720256161,4.290100319235855,-0.1113724010203061,0.9875928276598049,-0.11277157741638687
08 Leather and their articles,import,2018,Serbia tariff onset (Nov),0.2956989423757917,0.29946122077280296,0.003762278397011265,0.03399969392959502,0.11065624310624722
19 Arms and ammunition,import,2020,Tariff removal Apr + COVID shock,0.08183853617108887,0.15200343623014492,0.07016490005905605,0.7785523648717668,0.09012226180908553
13 Articl. of stone. plaster. ceramic product and glass,import,2022,Energy / Ukraine shock,3.4760051825296063,3.458686001124943,-0.017319181404663375,0.19744656388899454,-0.08771579035632297
19 Arms and ammunition,import,2016,SAA into force,0.052491864330354875,0.10302947524872799,0.05053761091837312,0.7785523648717668,0.0649122823314486
14 Pearls. precious stones. metals etc,import,2018,Serbia tariff onset (Nov),0.11286444648505523,0.1086342411184188,-0.00423020536663643,0.07026198109548427,-0.06020617837244992
13 Articl. of stone. plaster. ceramic product and glass,export,2020,Tariff removal Apr + COVID shock,2.2184674113708187,2.202432594065077,-0.016034817305741633,0.2746484904201355,-0.058383052756681236
03 Edible oils,export,2016,SAA into force,0.012603982858583312,0.0029067326387318894,-0.009697250219851423,0.1858245843196809,-0.0521849692566452
21 Works of art,export,2022,Energy / Ukraine shock,0.031095885154295136,0.030167061377442055,-0.0009288237768530806,0.019851352297940904,-0.046788942280240706
