year,flow,hs_section,share_of_flow_pct
2018,export,18 Optical. medical. photog. musical instr,0.2522448979591837
2018,export,19 Arms and ammunition,0.0
2018,export,20 Miscellaneous manufactured articles,3.5708843537414965
2018,export,21 Works of art,0.04272108843537415
2019,import,01 Live animals,4.253916783190788
2019,import,02 Vegetable products,4.590907401211851
2019,import,03 Edible oils,0.8593904144255432
2019,import,04 Prepared foodstufs beverageas and tobacco,12.0235450212031
2019,import,05 Mineral products,14.802252132462906
2019,import,06 Product of chemical industries,7.063677930188469
2019,import,07 Plastics. rubber and articles therof,6.31660819014449
2019,import,08 Leather and their articles,0.2996743043581451
2019,import,09 Wood and articles of wood,2.385270207284259
2019,import,10 Paper and their articles,1.5021174505952024
2019,import,11 Textils and textile articles,4.956693059737556
2019,import,12 Footwear,1.2461075224541267
2019,import,13 Articl. of stone. plaster. ceramic product and glass,3.307683729229397
2019,import,14 Pearls. precious stones. metals etc,0.15012310094277306
2019,import,15 Base metal and articles of base metal,10.627914890209972
2019,import,16 Machinery. appliances and electric materials,12.33625858918599
2019,import,17 Transport means,9.001581296663264
2019,import,18 Optical. medical. photog. musical instr,1.2315241355054
2019,import,19 Arms and ammunition,0.08183853617108887
2019,import,20 Miscellaneous manufactured articles,2.8583438419503993
2019,import,21 Works of art,0.10457146288528021
2019,export,01 Live animals,0.3470592530012412
2019,export,02 Vegetable products,5.994399073813323
2019,export,03 Edible oils,0.3554032771154709
2019,export,04 Prepared foodstufs beverageas and tobacco,10.384398760912418
2019,export,05 Mineral products,10.436288160872785
2019,export,06 Product of chemical industries,2.12824765063571
2019,export,07 Plastics. rubber and articles therof,13.252396299425305
2019,export,08 Leather and their articles,1.7063529313599717
2019,export,09 Wood and articles of wood,1.4993168330256474
2019,export,10 Paper and their articles,1.1360910333030863
2019,export,11 Textils and textile articles,3.0106282007155
2019,export,12 Footwear,0.6440543613171043
2019,export,13 Articl. of stone. plaster. ceramic product and glass,2.2184674113708187
2019,export,14 Pearls. precious stones. metals etc,0.889420820426171
2019,export,15 Base metal and articles of base metal,35.044640529011126
2019,export,16 Machinery. appliances and electric materials,4.401472720256161
2019,export,17 Transport means,1.0422207620180022
2019,export,18 Optical. medical. photog. musical instr,0.2834360691302398
2019,export,19 Arms and ammunition,0.0
2019,export,20 Miscellaneous manufactured articles,5.215015071393556
2019,export,21 Works of art,0.010690780896356791
2020,import,01 Live animals,4.465400487041943
2020,import,02 Vegetable products,4.9732818545935915
2020,import,03 Edible oils,0.9747815652076844
2020,import,04 Prepared foodstufs beverageas and tobacco,12.807116102596707
2020,import,05 Mineral products,10.732455751863414
2020,import,06 Product of chemical industries,8.612173136494294
2020,import,07 Plastics. rubber and articles therof,6.812429397725439
2020,import,08 Leather and their articles,0.21961781646502676
2020,import,09 Wood and articles of wood,2.4459175959978596
2020,import,10 Paper and their articles,1.4310952134236234
2020,import,11 Textils and textile articles,4.94774066654614
2020,import,12 Footwear,1.0639027178008127
2020,import,13 Articl. of stone. plaster. ceramic product and glass,3.4125999958745825
2020,import,14 Pearls. precious stones. metals etc,0.1330143819335832
2020,import,15 Base metal and articles of base metal,10.65228311527266
2020,import,16 Machinery. appliances and electric materials,13.195087355716554
2020,import,17 Transport means,8.762265533713762
2020,import,18 Optical. medical. photog. musical instr,1.3687892748850647
2020,import,19 Arms and ammunition,0.15200343623014492
2020,import,20 Miscellaneous manufactured articles,2.6572542434166224
2020,import,21 Works of art,0.18079035720049166
2020,export,01 Live animals,0.2720664414888689
2020,export,02 Vegetable products,6.693634656042318
2020,export,03 Edible oils,0.3017579029826231
2020,export,04 Prepared foodstufs beverageas and tobacco,9.172766401900253
2020,export,05 Mineral products,5.492709798603449
2020,export,06 Product of chemical industries,3.9538076667143978
2020,export,07 Plastics. rubber and articles therof,12.043783323927528
2020,export,08 Leather and their articles,0.8688437597392206
2020,export,09 Wood and articles of wood,1.1434371341211749
2020,export,10 Paper and their articles,0.9507585010234079
2020,export,11 Textils and textile articles,3.21573268419235
2020,export,12 Footwear,0.5496079042460895
2020,export,13 Articl. of stone. plaster. ceramic product and glass,2.202432594065077
2020,export,14 Pearls. precious stones. metals etc,0.4270516589314443
2020,export,15 Base metal and articles of base metal,36.6207326420768
2020,export,16 Machinery. appliances and electric materials,4.290100319235855
2020,export,17 Transport means,1.0884763436965659
2020,export,18 Optical. medical. photog. musical instr,0.18657187860614383
2020,export,19 Arms and ammunition,0.0
2020,export,20 Miscellaneous manufactured articles,10.482349373741798
2020,export,21 Works of art,0.04337901466463389
2021,import,01 Live animals,4.240234029339915
2021,import,02 Vegetable products,3.7370530158945
2021,import,03 Edible oils,0.8876651056029004
2021,import,04 Prepared foodstufs beverageas and tobacco,11.868944935943157
2021,import,05 Mineral products,13.435552161639588
2021,import,06 Product of chemical industries,7.596645659161791
2021,import,07 Plastics. rubber and articles therof,7.233851508016632
2021,import,08 Leather and their articles,0.23011404938176197
2021,import,09 Wood and articles of wood,2.247342608629565
2021,import,10 Paper and their articles,1.3611505403591948
2021,import,11 Textils and textile articles,5.034307893409311
2021,import,12 Footwear,0.954079875769582
2021,import,13 Articl. of stone. plaster. ceramic product and glass,3.4760051825296063
2021,import,14 Pearls. precious stones. metals etc,0.14565990898337156
2021,import,15 Base metal and articles of base metal,11.073269944338403
2021,import,16 Machinery. appliances and electric materials,12.769440410196065
2021,import,17 Transport means,9.635969778397545
2021,import,18 Optical. medical. photog. musical instr,1.1944838381119163
2021,import,19 Arms and ammunition,0.11859017945223933
2021,import,20 Miscellaneous manufactured articles,2.699372934412052
2021,import,21 Works of art,0.060266440430903984
2021,export,01 Live animals,0.2915073829570731
2021,export,02 Vegetable products,4.226526245588685
2021,export,03 Edible oils,0.22428734185757554
2021,export,04 Prepared foodstufs beverageas and tobacco,7.638075654303736
2021,export,05 Mineral products,5.94526859567013
2021,export,06 Product of chemical industries,2.3324560324032357
2021,export,07 Plastics. rubber and articles therof,10.642202806039748
2021,export,08 Leather and their articles,1.0307955121359962
2021,export,09 Wood and articles of wood,1.3503553531897101
2021,export,10 Paper and their articles,1.0028753769549057
2021,export,11 Textils and textile articles,3.4070504295863455
2021,export,12 Footwear,0.5378926517115308
2021,export,13 Articl. of stone. plaster. ceramic product and glass,2.544701988945744
2021,export,14 Pearls. precious stones. metals etc,0.5220139018455077
2021,export,15 Base metal and articles of base metal,32.31021255029925
2021,export,16 Machinery. appliances and electric materials,4.068929653168406
2021,export,17 Transport means,0.9594734606544427
2021,export,18 Optical. medical. photog. musical instr,0.18776621716572253
2021,export,19 Arms and ammunition,0.0
2021,export,20 Miscellaneous manufactured articles,20.746512960367962
2021,export,21 Works of art,0.031095885154295136
2022,import,01 Live animals,4.968812262873541
2022,import,02 Vegetable products,3.578184614096971
2022,import,03 Edible oils,1.083183376375768
2022,import,04 Prepared foodstufs beverageas and tobacco,11.581133866109065
2022,import,05 Mineral products,18.53904212436935
2022,import,06 Product of chemical industries,7.145782988107237
2022,import,07 Plastics. rubber and articles therof,6.812804066251067
2022,import,08 Leather and their articles,0.22200959109805377
2022,import,09 Wood and articles of wood,2.2023280507345113
2022,import,10 Paper and their articles,1.5319725729493017
2022,import,11 Textils and textile articles,4.737049854275174
2022,import,12 Footwear,0.9553860023307461
2022,import,13 Articl. of stone. plaster. ceramic product and glass,3.458686001124943
2022,import,14 Pearls. precious stones. metals etc,0.17578123614656604
2022,import,15 Base metal and articles of base metal,10.521552308084058
2022,import,16 Machinery. appliances and electric materials,11.07854458172471
